,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
8590,CHN34497,CHN,34497,JINCHANG,182639.0,167.98,48.11,48.11,1.51,16.32,14.52,1.7710000000000001,38.50776091,102.1948551,1087.266341231099
8599,CHN34511,CHN,34511,DINGZHOU,273301.0,86.65,39.21,39.21,-0.53,20.66,18.68,1.7710000000000001,38.52497277,114.9797368,3154.079630698211
8607,JPN34548,JPN,34548,YAMAGATA,494769.0,763.96,32.08,32.08,4.17,17.96,16.41,1.5500000000000007,38.31485002,140.345268,647.6373108539714
8608,JPN34549,JPN,34549,ISHINOMAKI,151300.0,221.95,31.37,31.37,2.73,17.28,16.27,1.0100000000000016,38.44827182,141.3040097,681.6850642036495
8611,CHN34564,CHN,34564,XINZHOU,206779.0,186.31,34.75,34.75,0.67,16.19,15.03,1.160000000000002,38.43397719,112.7350518,1109.8652782996082
8612,PRK34565,PRK,34565,SARIWON,271976.0,47.765,33.78,33.78,2.14,18.35,19.9,-0.7299999999999969,38.50955496,125.7621907,14459.117490696439
8617,ITA34576,ITA,34576,PALMI,105379.2,465.3,37.45,37.45,2.6,18.09,16.64,1.4499999999999993,38.3985956,15.99264401,219.20911240060175
8636,IRN34628,IRN,34628,MARAND,117513.0,154.02,44.19,44.19,-1.7769999999999997,17.65,16.09,1.5599999999999987,38.43746512,45.78778188,762.9723412543825
8640,CHN34642,CHN,34642,HEJIAN,128408.0,78.01,39.27,39.27,2.43,20.64,19.91,0.7300000000000004,38.44019915,116.098122,1646.04537879759
8651,USA34671,USA,34671,PUEBLO,119020.0,653.52,51.06699999999999,51.06699999999999,-0.88,13.34,11.96,1.379999999999999,38.28436692,-104.6057593,182.1214346921288
8655,CHN34678,CHN,34678,ANGUO,121948.0,47.765,38.13,38.13,0.35,20.05,19.74,0.3100000000000023,38.42220403,115.328373,2832.706155632985
8659,TUR34692,TUR,34692,MALATYA,381100.0,360.25,49.25,49.25,2.03,16.78,16.43,0.3500000000000014,38.34991591,38.30789647,1057.8764746703678
8663,GRC34700,GRC,34700,PATRAI,215041.0,556.82,41.12,41.12,2.42,20.65,19.52,1.129999999999999,38.20611967,21.6549267,386.1948205883409
8672,TUR34720,TUR,34720,AKSARAY,129900.0,131.94,48.16,48.16,-0.39,16.31,14.74,1.5699999999999985,38.37400979,34.01533963,984.5384265575261
8683,CHN34738,CHN,34738,CANGZHOU,509186.0,247.9,40.41,40.41,2.38,21.37,20.72,0.6500000000000021,38.32050515,116.8707765,2053.9975796692215
8705,CHN34796,CHN,34796,XINLE,184491.0,92.96,42.84,42.84,-0.32,22.08,21.04,1.0399999999999991,38.31928968,114.6972106,1984.6277969018934
8711,IRN34805,IRN,34805,ARDEBIL,365861.0,328.34,37.24,37.24,-1.7769999999999997,10.83,10.33,0.5,38.26000458,48.29075937,1114.2748370591462
8726,KOR34840,KOR,34840,SEOUL,2067882.5999999978,2138.968,32.5,32.5,1.99,22.16,20.82,1.3399999999999999,37.59717729,127.0117666,3291.2785430710614
8730,CHN34849,CHN,34849,YULIN,190664.0,135.48,41.83,41.83,0.7,16.3,15.9,0.40000000000000036,38.27912135,109.7588399,1407.322113965161
